,id,url,primaryTitle,originalTitle,trailer,contentRating,startYear,releaseDate,interests,spokenLanguages,budget,grossWorldwide,genres,runtimeMinutes,averageRating,numVotes,company_1,company_2,company_3
0,tt1213644,https://www.imdb.com/title/tt1213644/,Disaster Movie,Disaster Movie,https://www.youtube.com/watch?v=tihG_2BSUqg,PG-13,2008,2008-08-29,"['Disaster', 'Parody', 'Raunchy Comedy', 'Superhero', 'Comedy', 'Sci-Fi']",['en'],20000000.0,34816824.0,"['Comedy', 'Sci-Fi']",87,1.9,96360,Lionsgate,Grosvenor Park Media,3 in the Box
1,tt0060666,https://www.imdb.com/title/tt0060666/,Manos: The Hands of Fate,Manos: The Hands of Fate,https://www.youtube.com/watch?v=sF03ZFt8t8w,Not Rated,1966,1966-11-15,"['B-Horror', 'Folk Horror', 'Supernatural Horror', 'Horror']",['en'],19000.0,,['Horror'],70,1.7,38092,Sun City Films,Norm-Iris,
2,tt1316037,https://www.imdb.com/title/tt1316037/,Birdemic: Shock and Terror,Birdemic: Shock and Terror,https://www.youtube.com/watch?v=jE5dJDgZ644,Not Rated,2010,2010-02-27,"['B-Horror', 'Horror', 'Thriller']",['en'],10000.0,,"['Horror', 'Thriller']",105,1.7,26274,Expedition Films,Moviehead Pictures,
3,tt0270846,https://www.imdb.com/title/tt0270846/,Superbabies: Baby Geniuses 2,Superbabies: Baby Geniuses 2,https://www.youtube.com/watch?v=hyJuSjpoMfg,PG,2004,2004-08-27,"['Comedy', 'Family', 'Sci-Fi']",['en'],20000000.0,9448644.0,"['Comedy', 'Family', 'Sci-Fi']",88,1.5,31988,ApolloMedia Distribution,Crystal Sky Worldwide,Hador BG2 Productions Ltd.
4,tt4009460,https://www.imdb.com/title/tt4009460/,Kirk Cameron's Saving Christmas,Saving Christmas,https://www.youtube.com/watch?v=z5-yA66kaVc,PG,2014,2014-11-14,"['Comedy', 'Family', 'Holiday']",['en'],500000.0,2783970.0,"['Comedy', 'Family']",79,1.3,17137,Camfam Studios,Liberty University,Provident Films
5,tt0804492,https://www.imdb.com/title/tt0804492/,The Hottie & the Nottie,The Hottie & the Nottie,https://www.youtube.com/watch?v=BH-P8J8tDTE,PG-13,2008,2008-02-21,"['Comedy', 'Romance']",['en'],,1596232.0,"['Comedy', 'Romance']",91,2.0,39440,Purple Pictures,Adrenalina Films,Nevinny / Ramer Productions
6,tt0317676,https://www.imdb.com/title/tt0317676/,House of the Dead,House of the Dead,https://www.youtube.com/watch?v=htx3igt0ksk,R,2003,2003-10-10,"['Zombie Horror', 'Action', 'Adventure', 'Horror']",['en'],12000000.0,13818181.0,"['Action', 'Adventure', 'Horror']",90,2.1,39286,Boll Kino Beteiligungs GmbH & Co. KG,Mindfire Entertainment,Brightlight Pictures
7,tt0362165,https://www.imdb.com/title/tt0362165/,Son of the Mask,Son of the Mask,https://www.youtube.com/watch?v=FKwtGHbpVDU,PG,2005,2005-02-18,"['Slapstick', 'Comedy', 'Family', 'Fantasy']",['en'],84000000.0,59981548.0,"['Comedy', 'Family', 'Fantasy']",94,2.3,60937,New Line Cinema,Radar Pictures,Dark Horse Entertainment
8,tt10888594,https://www.imdb.com/title/tt10888594/,Radhe,Radhe,https://www.youtube.com/watch?v=n5MVzhwupBY,TV-MA,2021,2021-05-13,"['Action', 'Thriller']",['hi'],,1900312.0,"['Action', 'Thriller']",109,1.8,180604,Sohail Khan Production,Reel Life Production,Salman Khan Films
9,tt0799949,https://www.imdb.com/title/tt0799949/,Epic Movie,Epic Movie,https://www.youtube.com/watch?v=1ltiqNTYZbA,PG-13,2007,2007-01-26,"['Adventure Epic', 'Parody', 'Slapstick', 'Adventure', 'Comedy', 'Fantasy']",['en'],20000000.0,87238158.0,"['Adventure', 'Comedy', 'Fantasy']",86,2.4,111508,New Regency Productions,New Regency Productions,Paul Schiff Productions
10,tt0417056,https://www.imdb.com/title/tt0417056/,Pledge This!,Pledge This!,https://www.youtube.com/watch?v=J5non3F9E6c,R,2006,2007-02-08,['Comedy'],['en'],8300000.0,1751490.0,['Comedy'],91,1.7,19083,Pledge This Holdings,National Lampoon,Paris Hilton Entertainment
11,tt0185183,https://www.imdb.com/title/tt0185183/,Battlefield Earth,Battlefield Earth,https://www.youtube.com/watch?v=7VbfuehRjpw,PG-13,2000,2000-05-12,"['Action', 'Adventure', 'Sci-Fi']",['en'],73000000.0,29725663.0,"['Action', 'Adventure', 'Sci-Fi']",117,2.5,84565,Morgan Creek Entertainment,Franchise Pictures,JTP Films
12,tt0369226,https://www.imdb.com/title/tt0369226/,Alone in the Dark,Alone in the Dark,https://www.youtube.com/watch?v=P-Gc5bgZ2B8,R,2005,2005-01-28,"['Action', 'Horror', 'Sci-Fi']",['en'],20000000.0,12693645.0,"['Action', 'Horror', 'Sci-Fi']",96,2.4,47777,Boll Kino Beteiligungs GmbH & Co. KG,Herold Productions,Brightlight Pictures
13,tt1098327,https://www.imdb.com/title/tt1098327/,Dragonball Evolution,Dragonball Evolution,https://www.youtube.com/watch?v=T4_wHfz2qUA,PG,2009,2009-04-10,"['Martial Arts', 'Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']","['en', 'ja']",30000000.0,55720772.0,"['Action', 'Adventure', 'Fantasy']",85,2.5,82934,Twentieth Century Fox,Dune Entertainment,Star Overseas
14,tt0249516,https://www.imdb.com/title/tt0249516/,Foodfight!,Foodfight!,https://www.youtube.com/watch?v=uROQ9nplxIY,PG,2012,2013-02-12,"['Computer Animation', 'High-Concept Comedy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery']",['en'],65000000.0,120141.0,"['Action', 'Adventure', 'Animation']",91,1.3,12348,Threshold Animation Studios,Threshold Entertainment,Threshold Digital Research Labs
